team_nr,Organisatie,aantalteam,leeftijd_gem,geslacht,ervaring,tijd,gehaald,Introductie,centraal1,centraal2,centraal3,centraal5_,centraal6_,extern1_,extern2_,extern3,extern4,extern5,extern6,extern7,open1_,open2,open3,open4,extravert2_,extravert3_,extravert5,extravert6,extravert7,extravert8,lang1,lang2,lang3_,lang4_,lang5_,direct1,direct2,direct3_,direct4_,direct5_,taak1,taak2,taak3,taak4_,taak5_,taak6_,sturing1,sturing2,sturing3,sturing5,sturing8_,consensus1_,consensus2_,consensus3,consensus4,consensus5,VAR00003,centraal5R,centraal6R,extern1R,extern2R,open1R,taak4R,taak5R,taak6R,consensus2R,sturing8R,consensus1R,extravert2R,extravert3R,lang3R,lang4R,lang5R,direct3R,direct4R,direct5R,CentraalGEM,ExternGEM,OpenGEM,TaakGEM,SturingGEM,ConsensusGEM,ExtravertGEM,langGEM,DirectGEM,filter_$,SturingGEM1
361,DUO 22 maart 2018 geen vid, , , , ,11.48,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
362,DUO 22 maart 2018 geen vid, , , , ,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
363,DUO 22 maart 2018 geen vid, , , , ,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
364,CJIB 17 en 18 april 2018,6,37.8,0,85,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
365,CJIB 17 en 18 april 2018,6,29.4,0,85,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
366,CJIB 17 en 18 april 2018,6,48,0,66,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
367,CJIB 17 en 18 april 2018,6,45.5,33,12.5,19.59,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
368,CJIB 17 en 18 april 2018,6,47,33,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
369,CJIB 17 en 18 april 2018,6,34.2,66,66,13.48,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
370,CJIB 17 en 18 april 2018,6,41.25,50,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
371,CJIB 17 en 18 april 2018,6,29.5,0,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
372,CJIB 17 en 18 april 2018,5,28.8,80,40,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
373,CJIB 17 en 18 april 2018,6,35,50,50,17.12,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
374,CJIB 17 en 18 april 2018,6,34,33,33,17.06,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
375,CJIB 17 en 18 april 2018,6,38,0,66,14.36,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
376,CJIB 17 en 18 april 2018,6,39.7,0,50,19.59,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
377,CJIB 17 en 18 april 2018,6,28.2,33,33,18.55,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
378,CJIB 17 en 18 april 2018,6,44,50,33,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
379,CJIB 17 en 18 april 2018,6,37.8,0,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
380,CJIB 17 en 18 april 2018,6,34.25,66,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
381,CJIB 17 en 18 april 2018,6,32,50,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
382,CJIB 17 en 18 april 2018,6,39,33,66,14.25,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
383,CJIB 17 en 18 april 2018,6,44.6,12.5,100,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
384,CJIB 17 en 18 april 2018,6,34.5,12.5,33,15.27,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
385,CJIB 17 en 18 april 2018,4,29.75,50,0,19.06,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
386,CJIB 17 en 18 april 2018,6,41,33,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
387,CJIB 17 en 18 april 2018,6,36,33,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
388,CJIB 17 en 18 april 2018,3,28,33,33,15.26,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
389,Gemeente Groningen 14 november 2017,4, ,50,50,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
390,Gemeente Groningen 14 november 2017,6, ,16,16,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
391,Gemeente Groningen 14 november 2017,3, ,0,33,18.16,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
392,Gemeente Groningen 14 november 2017,6, ,0,100,17.01,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
393,Gemeente Groningen 14 november 2017,5, ,40,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
394,Gemeente Groningen 14 november 2017,5, ,0,20,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
395,Gemeente Groningen 14 november 2017,4, ,0,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
396,Gemeente Groningen 14 november 2017,6, ,50,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
397,Gemeente Groningen 14 november 2017,3, ,66,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
398,Gemeente Groningen 14 november 2017,6, ,33,33,17.59,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
399,Gemeente Groningen 14 november 2017,4, ,75,25,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
400,Gemeente Groningen 14 november 2017,6, ,33,16,12,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
401,Gemeente Groningen 14 november 2017,2, ,50,0,16.4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
402,Sport 050 Groningen 13 november 2018,4,53.75,25,0,20,2,1,4.4,3,3.8,2.2,2.6,4.6,1.6,1.9,4.7,3,4.1,3.2,2,3.8,4.9,3,4.4,3.8,2,2.2,3.5,3.5,1.4,2.2,4.8,4.6,4.6,3.4,1.8,2.2,4.4,3.9,2.2,3.8,1.9,3.7,4.3,3.2,2.2,3.9,2.4,2.6,3.9,2.1,2.1,4.5,4.1,4.1, ,3.8,3.4,1.4,4.4,4,2.3,1.7,2.8,3.9,2.1,3.9,1.6,2.2,1.2,1.4,1.4,3.8,1.6,2.1, , , , , , , , , ,0,2.64
403,Sport 050 Groningen 13 november 2018,4,55,25,25,20,2,2,4.4,1.4,2.5,3.7,3.6,5,2.3,3.6,4.7,3.2,4.1,4,3.8,2.8,3.7,3.8,2.2,2.8,2,2.8,2.3,3.6,3.8,2.7,2.4,4.1,2.4,4.1,3.8,3.2,2.4,3.9,2.3,3.2,4,3.7,4.3,3.2,4.6,3.9,2,1.8,1.5,3.3,3.3,2.4,1.2,3.6, ,2.3,2.4,1,3.7,2.2,2.3,1.7,2.8,2.7,4.5,2.7,3.8,3.2,3.6,1.9,3.6,2.8,3.6,2.1, , , , , , , , , ,0,3.36
404,Sport 050 Groningen 13 november 2018,5,40.8,40,40,20,2,1,4.2,1.4,2.2,4,3.6,2.2,1.8,3.2,3.8,3,4,3.6,2,4,3.4,3.7,4,2.7,2.2,2.2,4,3.4,4.6,3,2.6,1.8,3.3,4.1,4.1,3.4,2.8,2.7,3,4,4.2,2.6,2.6,2.6,4.5,3.6,4,3.7,1.5,3.6,3.6,2.2,1.9,2.3, ,2,2.4,3.8,4.2,4,3.4,3.4,3.4,2.4,4.5,2.4,2,3.3,3.4,4.2,2.7,2.6,3.2,3.3, , , , , , , , , ,0,4.06
405,Sport 050 Groningen 13 november 2018,5, ,75,40,18.1,1,2,4.8,4.5,4.5,2,1.9,1.1,1.4,2.2,4.9,3.7,4,3.4,2,3.6,5,4,3.2,2.8,2.2,2.3,4.2,3.6,1.4,2.4,4.4,4.5,4.2,2.8,1.7,3.9,4.1,4.1,1.8,1.8,2.2,4.6,4.7,3.8,3.4,3.9,4.6,3.9,2.2,3.4,3.4,4.7,4.1,2.9, ,4,4.1,4.9,4.6,4,1.4,1.3,2.2,2.6,3.8,2.6,2.8,3.2,1.6,1.5,1.8,2.1,1.9,1.9, , , , , , , , , ,1,3.92
406,Sport 050 Groningen 13 november 2018,6,42.5,50,33,18.25,1,1,4.2,4,3.8,2,2.4,2.4,1.2,2.9,4.6,1.9,4.2,3.5,1.9,3.6,4.6,3.7,3.8,2.3,3.5,3.5,4.3,4.3,2.2,2.6,4.2,4,4.2,4.4,3.6,3.4,2.4,2.3,2.4,4.7,4.4,2.4,3.4,3.6,3.8,4.3,4.7,4.5,2,2.4,2.4,3.3,2.6,4.1, ,4,3.6,3.6,4.8,4.1,3.6,2.6,2.4,3.6,4,3.6,2.2,3.7,1.8,2,1.8,2.6,3.6,3.7, , , , , , , , , ,1,4.26
407,Sport 050 Groningen 13 november 2018,5,41,60,20,18.19,1,2,3.7,3.3,2.6,2.7,2.4,2,2.5,1.6,3.5,3.2,3.8,3.9,2.3,4.1,4.4,3.2,3,3,4.5,3.6,3,4,3.7,2.6,2.6,4.4,2.6,3.7,4.4,2.6,2.3,2,3.3,4.2,4.7,2.3,2.8,2.2,4.6,4,3.3,3.8,1.4,2.4,2.4,3.8,3.4,4.1, ,3.3,3.6,4,3.5,3.7,3.7,3.2,3.8,3.6,4.6,3.6, , ,3.4,1.6,3.4,3.4,3.7,4, , , , , , , , , ,1,4.06
408,Sport 050 Groningen 13 november 2018,5,42,40,20,18.26,1,1,4.2,2.2,2.5,3.7,4.2,2,2.2,3,3.6,3.3,2.7,2.2,2.3,3.3,3.6,2.2,4.4,3.7,1.8,2.2,4,2.4,2.6,2.4,3.7,3.8,3.7,3.6,3,2.5,3.3,2.7,3,3.6,4.2,2.6,3.3,3.1,2.4,3.4,3,2.5,3.5,2.5,2.5,4,3.6,4.3, ,2.3,1.8,4,3.8,3.7,3.4,2.7,2.9,3.5,2.5,3.5,1.6,2.3,2.3,2.2,2.3,3.5,2.7,3.3, , , , , , , , , ,1,2.76
409,Sport 050 Groningen 13 november 2018,5,45,20,40,20,2,2,3,3,2.9,3.7,3.7,3.8,1.9,3,4.4,3.8,2.8,3.6,1.7,4.4,3.2,3.9,4,3.1,2,2.4,4.2,3.5,4.4,2.6,2.4,2.8,3.4,2.5,2.2,3.2,3.8,4.5,2.3,3.8,2,3.8,2.7,3.6,3.2,3.3,1.6,2.9,2.2,2.1,2.1,3.3,3.1,3.4, ,2.3,2.3,2.2,4.1,4.3,2.2,3.3,2.4,3.9,3.8,3.9,2,2.9,3.6,3.2,2.6,2.8,2.2,1.5, , , , , , , , , ,0,2.96
410,Stenden 25 tot 29 februari 2019,4,20,25,75,20,2,1,1.5,3,1.7,4.1,4.2,4.5,4.4,1.8,2.5,2.4,2.3,2.6,4.3,2.3,2,2.6,3.5,4.2,1.8,1.9,1.8,3.6,4.3,3,1.8,4,3,4.2,3.3,2.4,3.2,3.4,2.5,2.2,2.6,3.7,2.5,2.2,4,2.2,3.3,2.5,2.1,2.2,4.3,2.1,2.2,2.8, ,1.9,1.8,1.5,1.6,1.7,2.3,3.5,3.8,1.7,3.9,3.8,2.5,1.8,4.2,2, ,3.6,2.8,2.6, , , , , , , , , ,0,3.18
411,Stenden 25 tot 29 februari 2019,4,22.25,0,25,20,2,1,4.4,4.4,3.6,3.8,2.4,2.2,1.4,2.3,3.4,3,3.2,4.1,2,3.4,4.5,2.8,4.2,2.8,2.5,1.9,2.2,3.4,1.8,1.8,4.7,4.2,3.4,2.5,2.5,3.5,3.6,4.2,4.2,2.7,2.4,3.6,3.8,4,4.5,3.6,1.8,2.2,2,2.3,2.2,4.2,4.4,4, ,2.2,3.6,3.8,4.6,4,2.4,2.2,2,3.8,4,3.7,1.8,3.2,1.3,1.8,2.6,2.5,2.4,1.8, , , , , , , , , ,0,3.22
412,Stenden 25 tot 29 februari 2019,7,20.14285714,57,28.5,20,2,2,1.5,1.8,1.7,4.2,3.9,2.4,2.5,2.4,3.8,4.3,4.2,4.2,1.4,4.6,2.7,2,1.5,2.3,4.5,4,4.2,3.8,4.1,3.5,2.6,4.2,4,3.4,3.2,3.4,3.4,3.7,2.2,3.8,4.2,3.7,2,3.3,4.8,4.2,3.8,3,1.5,3.1,4.2,2.4,2.2,2.5, ,1.8,2.1,3.6,3.5,4.6,2.3,4,2.7,1.8,4.5,2.9,4.5,3.7,3.4,1.8,2,2.6,2.6,2.3, , , , , , , , , ,0,4.06
413,Stenden 25 tot 29 februari 2019,5,20,80,40,20,2,1,4.2,4.2,3,2.2,3.6,2.5,2,2.4,3.5,4.2,3.7,2.5,2.4,3.3,4.2,3.8,4.3,4,3.4,2,1.8,3.4,2.2,2.4,4.2,3.8,4,3.2,2.2,2.3,3.6,4.4,1.8,2.2,2.2,4.2,3.4,3,2.5,3.6,2.6,3,3.8,2.2,1.8,4.4,3.4,3.7, ,3.8,2.4,3.5,4,3.6,1.8,2.6, ,4.2,2.2,3.8,1.7,2,1.8,2.2,2,3.7,2.4,1.6, , , , , , , , , ,0,2.78
414,Stenden 25 tot 29 februari 2019,6,18.83333333,66.6,16.6,18.34,1,2,2.2,4.3,2.5,3.8,3.6,2.5,2.6,3.1,4,3.9,3.5,4.8,1.8,3.8,4.1,3.8,2.6,1.4,4.2,3.4,4.4,3.7,3.7,3.3,1.8,3.4,4.2,4.4,3.7,2.3,3.1,1.9,2.3,4.2,4.2,2.6,2.6,2.2,3.7,4.6,4.2,3,1.7,3.9,4,1.8,2.3,3.6, ,2.2,2.4,3.5,3.4,4.2,3.4,3.4,3.8,2,4.3,2.1,3.4,4.6,4.2,2.6,1.8,3.7,2.9,4.1, , , , , , , , , ,1,3.96
415,Stenden 25 tot 29 februari 2019,6,19.66666667,66.6,66.6,20,2,1,4.2,3.4,3.8,2.6,5,2.6,3,3.8,3.4,4.2,4.2,3.3,2.1,4,3.6,3.4,2.4,2.2,3.3,3,2.3,4.3,3,3,3.8,4.1,3,3.8,4.3,2.6,2.3,2,2.4,3.7,2.2,2.4,2.4,1.6,4.1,4.6,1.8,1.9,2.4,4.2,4.6,3,4.9,3.6, ,3.4,1,3.4, ,3.9,3.6,3.6,4.4,1.4,3.6,1.8,3.6,3.8,2.2,1.9, ,3.4,3.7,4, , , , , , , , , ,0,3.2
416,Stenden 25 tot 29 februari 2019,6,18.16666667,83.3,16.6,17.02,1,2,4.2,1.9,1.3,3.7,4.1,4.6,3.8,1.5,3,3.7,3,4.5,3.2,2.2,4.2,3.8,2.6,1.4,3.8,4.2,3.8,4.1,3.8,2.5,1.8,3.6,4.2,3.8,4.3,4.4,2.5,2.1,2.3,3.6,4.3,3.7,3.4,4.1,4.3,3.3,3.4,3.9,1.8,2.7,4.7,1.8,3.8,1.8, ,2.3,1.9,1.4,2.2,2.8,2.3,2.6,1.9,1.3,4.2,3.3,3.4,4.6,4.2,2.4,1.8,1.6,3.5,3.9, , , , , , , , , ,1,3.82
417,Stenden 25 tot 29 februari 2019,6,19.66666667,83.3,0,20,2,1,2.4,4,3,3.8,4,4.2,2.2,2.2,2.5,2.8,2.9,2.6,2.2,3.4,3.4,3.6,3.7,3.9,1.8,3.6,2.7,2.6,2.5,2.2,3.8,4.4,3.7,4,3.8,3.2,2.7,2.3,3,2.4,2,3.6,3.8,3,2.2,3.8,3.3,1.8,3.6,1.6,2.7,3.5,4.4,3.7, ,2.2,2,1.8,3.8,3.8,2.4,2.2, ,3.3,2.4,4.4,2.3,2.1,2.2,1.6,2.3,2.8,3.3,3.7, , , , , , , , , ,0,2.7
418,Stenden 25 tot 29 februari 2019,4,20.5,75,0,20,2,1,4.6,3.4,1.7,3.8,3.8,2.2,1.5,3,4.4,3.8,4.2,4,2.3,4.2,3.6,4.3,2,2.6,3,4.2,2.4,4.3,4.4,4,3.3,3.4,3,4.4,4.4,2.3,2.5,2.2,3,4.4,4.6,1.8,2.5,2.8,3.8,3.6,4.8,3.9,1.9,4.8,4.1,2.6,2.2,2.5, ,2.2,2.2,3.8,4.5,3.7,4.2,3.5,3.2,1.9,4.1,1.2,4,3.4,2.7,2.6, ,3.7,3.5,3.8, , , , , , , , , ,0,4.04
419,Stenden 25 tot 29 februari 2019,4,21,75,50,20,2,2,3.6,4.2,3.4,2,3.4,1.8,2.2,3.9,3.6,2.6,1.9,1.8,2.1,4,3.4,3.7,3.2,2,3.6,1.9,4.2,4,1.8,2.2,3.8,4.2,3.8,4.1,2.6,2.5,3.4,3.7,3.8,2,2.2,3.8,4.2,3.1,4.2,3.3,2.3,3,1.9,2.7,1.7,3.9,4.4,4.5, ,4,2.6,4.2,3.8,3.9,2.2,1.8,2.9,4.3,4.1,3.3,2.8,4,2.2,1.8,2.2,3.5,2.6,2.3, , , , , , , , , ,0,3.38
420,Stenden 25 tot 29 februari 2019,6,22.66666667,33.3,66.6,18.27,1,3,1.4,2.6,1.4,4.6,4.2,3.7,4.2,3,4.3,4.5,3.5,4.6,1.4,4.8,4.2,3.5,1.8,1.6,3.9,4.1,4.2,3.6,3.9,3.7,3.5,4.1,4.2,3.3,2,3.4,3.5,4.3,4.6,4.3,3.6,2.3,3.8,4.1,4.7,3.6,3.8,3,2.2,4.5,2.6,4,1.2,2.4, ,1.4,1.8,2.3,1.8,4.6,3.7,2.2,1.9,3.4,3.8,1.5,4.2,4.4,2.5,1.9,1.8,2.6,2.5,1.7, , , , , , , , , ,1,3.78
421,Stenden 25 tot 29 februari 2019,7,18.71428571,100,14.2,19.59,1,2,4.3,4.2,1.9,1.8,2.3,2.2,2.8,1.7,4.1,3.7,2.2,3,1.9,3.8,2.7,3,3.8,3,2,3,4.2,3.9,1.7,2.3,4.6,3.8,4.1,4.5,3.7,3.6,2,2,3,3.6,4.2,2.3,2,2.6,4.2,3.4,4,3,2.1,1.7,2.4,4.3,2.3,4.2, ,4.2,3.7,3.8,3.2,4.1,3.7,4,3.4,3.6,3.9,4.3,2.2, ,1.4,2.2,1.9,2.4,4,4, , , , , , , , , ,1,3.7
422,Stenden 25 tot 29 februari 2019,7,20.28571429,57,28.5,20,2,1,4.2,3.5,4.1,3.6,1.2,3.9,3,2.6,4.2,3,3.1,3.9,1.9,4.2,4.6,3.6,3.7,2,3.8,2.2,3.5,4.4,2.2,1.7,4.1,3.8,4.2,3.9,4.6,3.8,2.2,4,1.5,2.8,4.2,1.2,3.9,2.3,1.8,3.8,3.3,1.6,3.9,3.4,4.6,1.9,2.6,3, ,2.4,4.8,2.1, ,4.1,4.8,2.1,3.7,1.4,2.1,2.6,2.3,4,1.9,2.2,1.8,2.2,3.8,2, , , , , , , , , ,0,2.52
423,Stenden 25 tot 29 februari 2019,7,19,83.3,28.5,15.05,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
424,Stenden 25 tot 29 februari 2019,7,20.42857143,83.3,28.5,20,2,3,1.4,2.2,2.3,4.3,3.9,3,2.2,1.4,3.9,3.6,4,4.3,1.5,4.4,3.4,3.4,1.8,2.5,3.5,4.7,3.8,4.2,4.4,4.1,1.8,2.2,1.7,4.2,4.6,2.3,2.2,2.3,2.3,4,4.4,1.7,3.8,2.2,4.6,4,3.8,2.6,1.4,2.4,4.3,3.9,3.4,4.2, ,1.7,2.1, ,3.8,4.5,4.3,2.2,3.8,1.7,4.6,3.6,4.2,3.5,4.2,3.8,4.3,3.7,3.8,3.7, , , , , , , , , ,0,3.92
425,Stenden 25 tot 29 februari 2019,3,21.66666667,0,33.3,20,2,1,4.1,3.6,4.4,2.4,2.3,4.1,2.1,3,3.6,3,3,4.1,2.2,3.8,3.8,3.8,4.2,4.6,1.4,1.6,2.8,3.5,2,2.6,4,4.4,3.8,2,2,3,4.6,4.6,2.7,2.4,1.8,3.7,4.3,3,1.6,2,2.2,2.9,4,1.9,3.1,4.2,3.7,4.2, ,3.6,3.7,1.9,3.9,3.8,2.3,1.7, ,2.9,2,4.1,1.8,1.4,2,1.6,2.2, ,1.4,1.4, , , , , , , , , ,0,2.14
426,Stenden 25 tot 29 februari 2019,4,19.75,33.3,50,16.04,1,3,3.2,4.3,3.7,4.1,2.2,1.8,1.9,3.5,4.9,4.7,3.9,4.1,3.5,2,4.4,3.8,2.1,2.3,4.5,1.8,2.3,4.6,2,2.1,3.8,4.6,3.7,2.2,1.6,4.5,3.6,4.1,2.3,3.8,1.8,4,4.6,3.6,3.8,3.7,3.9,4.2,2.1,3.6,1.7,4.4,2.2,4.6, ,1.9,3.8,4.2,4.1,2.5,2,1.4,2.4,4.3,3.9,2.4,3.9,3.7,2.2,1.4,2.3,1.5,2.4,1.9, , , , , , , , , ,1,3.9
427,Stenden 25 tot 29 februari 2019,2,25.5,50,0,18.32,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
428,Stenden 25 tot 29 februari 2019,4,22.5,25,50,20,2,1,4.4,2.3,1.7,4.2,3.6,4.3,3.8,1.8,4.2,3,3.9,2.4,1.9,3.9,3.7,3,4.1,4.2,2.2,2.1,1.9,4.2,2.3,1.7,3.6,4.3,3.6,3.5,2.1,3.8,3.7,4.2,3.3,2.4,1.5,3.7,4,3.4,2.4,2.4,4.4,2.4,3.4,4.2,2.1,3.4,4.3,3.6, ,1.8,2.4,1.7,2.2,4.1,2.3,2,2.6,3.9,2.6,1.8,1.9,1.8,2.4,1.7,2.4,2.2,2.3,1.8, , , , , , , , , ,0,2.84
429,Stenden 25 tot 29 februari 2019,5,25,40,40,20,2,2,4.7,3.6,1.8,4.4,3.2,3.4,1.3,1.9,4.2,3,4.2,3.3,1.7,4.4,3.8,4.4,2.5,1.9,4.6,1.8,1.2,4.5,2,2.3,3.8,4.6,4.3,4.2,3.8,3.6,3.8,3.6,1.6,4.6,2.3,4.2,3.8,3,4.3,3.8,2.3,1.3,2,3.3,1.8,3.4,1.9,3.8, ,1.6,2.8,2.6,4.7,4.3,1.8,2.2, ,4.2,4,2.7,3.5,4.1,2.2,1.4,1.7,2.4,2.2,2.4, , , , , , , , , ,0,3.14
430,Stenden 25 tot 29 februari 2019,4,22.25,25,25,20,2,2,4.6,4.6,4.2,1.5,2,1.6,1.2,3.4,4.4,3.4,4.2,4.4,3.4,1.9,4.5,3.5,4.5,1.2,4.7,1.6,2.6,4.7,1.5,1.1,4.6,4.2,4.3,1.8,1.4,4,4.6,4.6,2.2,4.2,3,4.2,4.2,3.5,3.2,3.7,3.4,3.4,2.1,1.5,1.8,4.6,4.1,3.8, ,4.5,4,4.4,4.8,2.6,1.8,1.8,2.5,4.2,3.9,4.5,1.5,4.8,1.4,1.8,1.7,2,1.4,1.4, , , , , , , , , ,0,3.52
