team_nr,Organisatie,aantalteam,leeftijd_gem,geslacht,ervaring,tijd,gehaald,Introductie,centraal1,centraal2,centraal3,centraal5_,centraal6_,extern1_,extern2_,extern3,extern4,extern5,extern6,extern7,open1_,open2,open3,open4,extravert2_,extravert3_,extravert5,extravert6,extravert7,extravert8,lang1,lang2,lang3_,lang4_,lang5_,direct1,direct2,direct3_,direct4_,direct5_,taak1,taak2,taak3,taak4_,taak5_,taak6_,sturing1,sturing2,sturing3,sturing5,sturing8_,consensus1_,consensus2_,consensus3,consensus4,consensus5,VAR00003,centraal5R,centraal6R,extern1R,extern2R,open1R,taak4R,taak5R,taak6R,consensus2R,sturing8R,consensus1R,extravert2R,extravert3R,lang3R,lang4R,lang5R,direct3R,direct4R,direct5R,CentraalGEM,ExternGEM,OpenGEM,TaakGEM,SturingGEM,ConsensusGEM,ExtravertGEM,langGEM,DirectGEM,filter_$,SturingGEM1
301,NHL 2018,5,32.6,20,40,20,2,1,4.3,4.5,4.1,2,2.2,1.4,1.6,3.7,4.5,2.3,3.4,2.6,1.4,3.6,4.4,4.9,4.3,3.8,2.7,1.3,2.2,3.7,1.2,1.2,4.5,4.4,4.1,2.7,1.2,2.6,4.8,4.7,1.5,2.8,1.4,3.8,4.4,2.5,1.3,3.5,2.6,1.8,4.6,1.3,1.4,4.3,4.1,4.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
302,NHL 2018,5,17,80,0,20,2,4,2,2.6,4.5,3.9,4.2,4.2,2.7,3.8,1.6,2.4,1.3,1.7,1.9,4.5,3.8,3.5,4.5,2.5,3.1,2.9,2.6,3.7,4,4,2.5,2.8,3.7,4.3,3.6,1.8,1.2,1.5,2.3,2.8,3.8,2.2,1.6,1.3,1.3,1.5,2.2,1.4,4.5,2.5,3.4,3.1,1.7,2.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
303,NHL 2018,4,18.25,50,0,16,1,3,1.6,1.4,1.1,4.4,4.3,3.8,1.5,4.2,2.6,4.7,4.4,3.5,1.5,4.2,3.7,3.5,2.8,1.7,4.6,3.4,3.1,4.4,4.6,3.6,2.1,2,3.3,4.3,3.6,3.5,2.8,2.7,2.3,4.3,3.8,2.2,1.6,1.3,3.3,4.3,4.6,4.6,1.7,4.5,3.4,1.5,1,1.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
304,NHL 2018,4,21.5,50,25,17.29,1,3,3.6,2.3,2.3,3.7,3.7,3.4,3.1,2.2,3.9,4.2,4.8,3.9,2.1,4,3.6,3.5,4,3.1,3.4,1.7,1.7,4.1,4.2,3.4,1.9,1.8,1.6,3.9,2.4,3.8,4.4,3.9,2.3,4.8,2.7,3.7,2.8,4.2,3.6,3.6,4.2,3.4,2.1,4,4,2.4,1.4,2.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
305,NHL 2018,6,21.66666667,85,50,16.5,1,1,2,1.3,2.3,4.5,4.2,4.5,2,3.8,3.5,3.9,4,3.5,3.5,2.2,2.2,2.1,2.2,1.5,4.8,4.5,4.4,2.9,4.5,4.3,2.1,1.8,2,4.3,4,1.7,2.5,2.6,2.6,2,3.8,1.6,2.8,1.4,4.2,3.7,4.3,3.8,1.7,4.2,3.6,2,1.4,2.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
306,NHL 2018,5,47.6,0,40,13.23,1,3,4.8,4.5,3.5,1.7,1.4,1.3,1.2,2.2,4.7,4.7,4.4,3.9,1.5,4.2,4.6,4.9,3.4,1.5,4,1.7,1.6,4.5,1.3,1.5,4.9,4.6,4.8,1.5,1.2,4.9,4.5,4.6,1.4,2,1.4,4.8,4.4,4.6,3.4,4.2,4.3,3.8,1.7,1.4,1.2,3.6,4.2,4.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
307,NHL 2018,4,19.25,75,25,20,2,4,3.6,1.7,3.5,3.7,3.8,4.5,4,1.8,2.7,2.3,2.4,1.9,2.5,4,3.8,3.6,4.4,3.9,2.4,2.5,2.3,2.8,4.4,2.8,2.5,2.2,2.4,1.9,2.4,2.5,3.7,3.4,2.5,2.4,3.3,2.4,2.3,2.8,2.2,2.2,1.9,1.4,3.7,4.2,2,2,5,4.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
308,NHL 2018,5,19.8,60,20,20,2,4,1.8,1.7,4.1,4,4.1,4.4,4,3.2,3.5,2.7,3.6,1.9,2.3,3.7,3.8,4.4,4,2.3,3.2,2.1,1.9,3.4,4.1,3.4,1.7,2.2,3.6,2.7,2.4,2.1,4,3.6,1.7,3.3,2.5,4.1,1.2,1.6,1.8,2.6,2.7,1.4,3.7,3.9,3.2,2,2.2,2.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
309,NHL 2018,4,18.75,75,50,20,2,1,1.8,2,2.8,4.2,4.1,4.4,4,2,2.3,2.3,2.2,3.7,3.8,2.4,4,4.4,4.4,2,3.4,3.8,2.4,4.4,4.1,3.4,1.7,2.2,3.6,4.4,3.7,2.1,2,2,3.7,4.1,4.5,1.1,1.2,1.6,2.6,3.6,2.4,1.4,4.2,4.2,3.6,4.4,1.2,1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
310,NHL 2018,3,18.33333333,100,33,20,2,1,1.9,2.8,4.5,4.5,4.3,4.4,3.9,4,1.9,1.7,2.6,1.9,4.3,1.9,3.4,1.8,4.4,4,2,1.8,1.4,2.7,2.8,2.6,1.7,3.6,3.9,4.2,1.7,1.5,2.4,2,2.1,1.6,2.7,1.8,1.3,1.2,2.2,2.8,2.1,1.7,3.7,2.6,2,2.1,4.2,2.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
